institution,sat,state,enrollment,cccu
"Western Washington University",1180,WA,15197,N
"Westmont College",1240,CA,1226,Y
"Wheaton College",1330,IL,1670,N
"Whitman College",1330,WA,1360,N
"Whitworth University",1160,WA,2756,Y
"Wichita State University",1140,KS,14999,N
"Williams College",1479,MA,1987,N
"Wright State University",1090,OH,10936,N
"Wyoming Catholic College",1282,WY,171,N
"Xavier University",1160,OH,7061,N
"Yale University",1520,CT,12060,N
"Youngstown State University",1080,OH,11835,N
