YR,CLUB,Runs,Single,Double,Triple,HomeRun,Walk,Strikeout,StolenBase,CaughtStealing
97,STL,4.25308642,5.907407407,1.660493827,0.240740741,0.888888889,3.351851852,7.351851852,1.012345679,0.37654321
97,DET,4.839506173,5.802469135,1.654320988,0.191358025,1.086419753,3.567901235,7.185185185,0.99382716,0.450617284
97,MON,4.265432099,5.419753086,2.092592593,0.209876543,1.061728395,2.592592593,6.691358025,0.462962963,0.283950617
97,SF,4.839506173,5.796296296,1.641975309,0.228395062,1.061728395,3.962962963,6.901234568,0.74691358,0.308641975
97,FLA,4.567901235,6.012345679,1.679012346,0.172839506,0.839506173,4.234567901,6.611111111,0.709876543,0.358024691
97,HOU,4.796296296,5.802469136,1.938271605,0.24691358,0.820987654,3.913580247,6.709876543,1.055555556,0.450617284
97,MIL,4.229813665,5.96273292,1.819875776,0.167701863,0.838509317,3.068322981,6.00621118,0.639751553,0.347826087
97,OAK,4.709876543,5.907407406,1.691358025,0.141975309,1.216049383,3.962962963,7.290123457,0.438271605,0.222222222
97,NY,4.796296296,6.12962963,1.691358025,0.172839506,0.944444444,3.395061728,6.351851852,0.586419753,0.456790123
97,PIT,4.469135802,5.981481482,1.796296296,0.320987654,0.796296296,2.969135802,7.179012346,0.987654321,0.308641975
97,CHI,4.240740741,6.228395062,1.660493827,0.240740741,0.783950617,2.783950617,6.209876543,0.716049383,0.37037037
97,KC,4.639751553,6.391304348,1.590062112,0.217391304,0.98136646,3.48447205,6.590062112,0.807453416,0.409937888
97,BAL,5.012345679,6.265432098,1.62962963,0.141975309,1.209876543,3.611111111,5.882716049,0.388888889,0.160493827
97,LA,4.580246914,6.413580247,1.49382716,0.203703704,1.074074074,3.067901235,6.648148148,0.808641975,0.395061728
97,ATL,4.882716049,6.24074074,1.654320988,0.228395062,1.074074074,3.672839506,7.148148148,0.666666667,0.358024691
97,MIN,4.765432099,6.450617284,1.882716049,0.24691358,0.814814815,3.055555556,6.919753086,0.932098765,0.320987654
